alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,Smth1,Smth2
  7.900, 0.8937, 0.00595, 0.00229,-0.0015,0.0016,0.5104,-12.2063, 0.0000, 0.0000, 0.0000, 0.2460
  8.000, 0.9048, 0.00602, 0.00236,-0.0015,0.0015,0.5136,-12.4904, 0.0000, 0.0000, 0.0000, 0.2459
  8.100, 0.9159, 0.00608, 0.00243,-0.0015,0.0014,0.5214,-12.7775, 0.0000, 0.0000, 0.0000, 0.2457
  8.200, 0.9270, 0.00613, 0.00249,-0.0014,0.0013,0.5298,-13.0676, 0.0000, 0.0000, 0.0000, 0.2455
  8.300, 0.9381, 0.00619, 0.00256,-0.0014,0.0013,0.5342,-13.3611, 0.0000, 0.0000, 0.0000, 0.2454
  8.400, 0.9492, 0.00626, 0.00263,-0.0014,0.0012,0.5357,-13.6579, 0.0000, 0.0000, 0.0000, 0.2452
  8.500, 0.9603, 0.00632, 0.00270,-0.0013,0.0012,0.5409,-13.9580, 0.0000, 0.0000, 0.0000, 0.2450
  8.600, 0.9714, 0.00638, 0.00277,-0.0013,0.0011,0.5491,-14.2614, 0.0000, 0.0000, 0.0000, 0.2449
  8.700, 0.9824, 0.00643, 0.00283,-0.0013,0.0011,0.5573,-14.5679, 0.0000, 0.0000, 0.0000, 0.2447
  8.800, 0.9935, 0.00650, 0.00290,-0.0013,0.0010,0.5585,-14.8781, 0.0000, 0.0000, 0.0000, 0.2445
  8.900, 1.0046, 0.00655, 0.00297,-0.0012,0.0010,0.5616,-15.1916, 0.0000, 0.0000, 0.0000, 0.2443
  9.000, 1.0157, 0.00662, 0.00304,-0.0012,0.0010,0.5691,-15.5081, 0.0000, 0.0000, 0.0000, 0.2442
  9.100, 1.0267, 0.00668, 0.00311,-0.0012,0.0009,0.5774,-15.8278, 0.0000, 0.0000, 0.0000, 0.2440
  9.200, 1.0378, 0.00674, 0.00318,-0.0011,0.0009,0.5821,-16.1508, 0.0000, 0.0000, 0.0000, 0.2438
  9.300, 1.0488, 0.00680, 0.00325,-0.0011,0.0008,0.5839,-16.4774, 0.0000, 0.0000, 0.0000, 0.2436
  9.400, 1.0599, 0.00687, 0.00333,-0.0010,0.0008,0.5899,-16.8073, 0.0000, 0.0000, 0.0000, 0.2434
  9.500, 1.0709, 0.00693, 0.00340,-0.0010,0.0008,0.5982,-17.1405, 0.0000, 0.0000, 0.0000, 0.2433
  9.700, 1.0930, 0.00707, 0.00354,-0.0009,0.0007,0.6061,-17.8169, 0.0000, 0.0000, 0.0000, 0.2429
  9.800, 1.1040, 0.00714, 0.00362,-0.0009,0.0007,0.6102,-18.1602, 0.0000, 0.0000, 0.0000, 0.2427
  9.900, 1.1150, 0.00720, 0.00370,-0.0008,0.0006,0.6185,-18.5143, 0.0000, 0.0000, 0.0000, 0.2425
 10.000, 1.1260, 0.00727, 0.00377,-0.0008,0.0006,0.6268,-18.9199, 0.0000, 0.0000, 0.0000, 0.2423


